LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
2,0.0319511,0.11488,0.00272942,0.0025,0,-278273,0.327577,-0.943436,-0.0512071,-278273,-580.414,4.93861e-14,-0.327577,0.943436,0.0512071,-0.90206,-0.430109,-0.0359739,0.200031,0.162081,-0.96629,starting,
3,0.0790924,0.0758957,0.00282932,0.0025,1,-245267,-0.195676,-0.979455,-0.048765,-63195.7,-245267,6.54695e-14,-0.999685,-0.0232822,-0.00934094,0.195676,0.979455,0.048765,-0.0106837,-0.0586606,0.998221,starting,
5,0.0431068,0.0658494,0.00284855,0.0025,2,-379743,0.769288,0.63869,0.0164789,-379743,-18359.2,8.22163e-13,-0.769288,-0.63869,-0.0164789,0.651874,-0.74682,-0.131604,-0.114178,0.181283,-0.97678,starting,
9,0.0553375,0.0401321,0.00253162,0.0025,3,-363083,-0.162089,0.986735,0.00895657,-174981,-363083,-184.1,-0.999936,-0.0111818,-0.00170247,0.162089,-0.986735,-0.00895657,0.0425736,0.00756247,-0.999065,starting,
11,0.0755492,0.0516443,0.002644,0.0025,4,-62124.6,-0.389579,0.920575,0.0277677,1.34953e-14,-62124.6,-2.65093e-14,0.999999,-0.00125528,-3.78636e-05,0.389579,-0.920575,-0.0277677,0.999381,0.000215937,0.035189,starting,
17,0.076002,0.0442185,0.00250567,0.0025,5,-170218,-0.701227,0.712879,0.00923558,-170218,-8400.04,1.51029e-14,0.701227,-0.712879,-0.00923558,-0.642821,-0.763533,0.0616264,0.073036,0.0466901,0.996236,starting,
19,0.0816369,0.0304069,0.00274453,0.0025,6,-155012,0.661761,0.748785,-0.0373379,6.1057e-12,-155012,-7.51721e-15,0.740502,-0.67122,0.0334702,-0.661761,-0.748785,0.0373379,-0.0984625,0.139993,0.985245,starting,
22,0.092728,0.0922304,0.00250414,0.0025,7,-518724,-0.776328,-0.630221,-0.0116995,-518724,-206111,-1000.98,0.776328,0.630221,0.0116995,0.632173,-0.774747,0.0111985,-0.011086,-0.00724021,0.999912,starting,
24,0.11272,0.0297851,0.00253117,0.0025,8,-295001,0.939457,0.342658,0.00258787,-295001,-3570.01,-9.87171e-13,-0.939457,-0.342658,-0.00258787,0.263607,-0.946269,-0.187312,-0.0674673,0.261951,-0.96272,starting,
25,0.0988508,0.0444025,0.002506,0.0025,9,-191233,-0.980752,0.195112,0.00750329,-191233,-172839,2.40036e-13,0.980752,-0.195112,-0.00750329,-0.0257629,0.997939,0.0587742,-0.00565853,0.0388709,-0.999228,starting,
28,0.0723639,0.0876422,0.00271471,0.0025,10,-285141,0.623868,-0.781457,-0.0106431,-285141,-791.971,-3.41102e-12,-0.623868,0.781457,0.0106431,-0.738751,-0.608021,0.290786,-0.426512,-0.352232,-0.833079,starting,
31,0.0909977,0.0263005,0.00282853,0.0025,11,-346766,-0.97853,0.205509,-0.0156805,-346766,-84336.2,73.948,0.97853,-0.205509,0.0156805,-0.28361,-0.958582,0.0262116,-0.0198895,0.00361353,0.999796,starting,
34,0.0549412,0.0971832,0.00291312,0.0025,12,-378841,0.773322,-0.633466,-0.0263563,-378841,-232804,-37.2747,-0.773322,0.633466,0.0263563,0.256608,0.965989,-0.0318938,0.0542375,0.0283143,0.998127,starting,
36,0.12374,0.024794,0.00277825,0.0025,13,-89838.8,-0.311111,-0.950164,-0.0199469,-22750.7,-89838.8,-21.1581,-0.890653,0.452317,-0.0463224,0.311111,0.950164,0.0199469,-0.0783863,0.00858157,0.996886,starting,
